,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
52,2020-03-14,157027.80774319769,51335.70505719244,325765.1529109954,157027.80774319766,157027.80774319769,16296.42936088234,16296.42936088234,16296.42936088234,16296.42936088234,16296.42936088234,16296.42936088234,0.0,0.0,0.0,173324.23710408004
53,2020-03-15,165646.9094523298,27245.782222115806,285714.66309337475,165646.9094523298,165646.9094523298,2080.2228209827813,2080.2228209827813,2080.2228209827813,2080.2228209827813,2080.2228209827813,2080.2228209827813,0.0,0.0,0.0,167727.13227331257
54,2020-03-16,174266.01116146182,16825.360719028376,291350.2608303897,174266.01116146182,174266.01116146182,-10999.425019486407,-10999.425019486407,-10999.425019486407,-10999.425019486407,-10999.425019486407,-10999.425019486407,0.0,0.0,0.0,163266.58614197542
55,2020-03-17,182885.11287059364,26803.616600597026,296200.5152290227,182885.1128705936,182885.11287059364,-14657.398555097488,-14657.398555097488,-14657.398555097488,-14657.398555097488,-14657.398555097488,-14657.398555097488,0.0,0.0,0.0,168227.71431549615
56,2020-03-18,215985.3918605128,73245.36622663171,331676.39641441323,215985.39186051278,215985.3918605128,-7006.208342765579,-7006.208342765579,-7006.208342765579,-7006.208342765579,-7006.208342765579,-7006.208342765579,0.0,0.0,0.0,208979.18351774724
57,2020-03-19,249085.67085043222,111030.77733297837,382094.3638542661,249085.6708504322,249085.67085043222,148.08121885413786,148.08121885413786,148.08121885413786,148.08121885413786,148.08121885413786,148.08121885413786,0.0,0.0,0.0,249233.75206928636
58,2020-03-20,282185.9498403516,160455.45907576993,424526.39232617524,282185.9498403516,282185.9498403516,14138.298516630457,14138.298516630457,14138.298516630457,14138.298516630457,14138.298516630457,14138.298516630457,0.0,0.0,0.0,296324.248356982
59,2020-03-21,315286.228830271,204158.14471144648,465095.380512083,315286.22883027093,315286.228830271,16296.42936087941,16296.42936087941,16296.42936087941,16296.42936087941,16296.42936087941,16296.42936087941,0.0,0.0,0.0,331582.6581911504
60,2020-03-22,348386.5078201904,220428.46339044796,500895.3936177746,348386.5078201904,348386.5078201904,2080.222820967904,2080.222820967904,2080.222820967904,2080.222820967904,2080.222820967904,2080.222820967904,0.0,0.0,0.0,350466.7306411583
61,2020-03-23,381486.78681010957,237384.08262758085,514026.2505720266,381486.78681010957,381486.78681010957,-10999.425019496832,-10999.425019496832,-10999.425019496832,-10999.425019496832,-10999.425019496832,-10999.425019496832,0.0,0.0,0.0,370487.36179061275
