,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
74,2020-04-05,258428.99839590283,234810.2099862137,283976.1350931005,258428.9983959028,258428.99839590283,1285.1326329973529,1285.1326329973529,1285.1326329973529,1285.1326329973529,1285.1326329973529,1285.1326329973529,0.0,0.0,0.0,259714.13102890018
75,2020-04-06,276091.95104897156,243340.35459872818,299469.9664327652,276091.95104897156,276091.95104897156,-2834.6943742825297,-2834.6943742825297,-2834.6943742825297,-2834.6943742825297,-2834.6943742825297,-2834.6943742825297,0.0,0.0,0.0,273257.256674689
76,2020-04-07,295455.4292626156,266539.2414964717,322332.69605499995,295455.4292626156,295455.4292626156,-2694.7974448560913,-2694.7974448560913,-2694.7974448560913,-2694.7974448560913,-2694.7974448560913,-2694.7974448560913,0.0,0.0,0.0,292760.63181775954
77,2020-04-08,314818.9074762597,287740.5218193857,339446.42763838905,314818.9074762597,314818.9074762597,-1162.1348354361176,-1162.1348354361176,-1162.1348354361176,-1162.1348354361176,-1162.1348354361176,-1162.1348354361176,0.0,0.0,0.0,313656.77264082356
78,2020-04-09,334182.38568990375,310213.2372327306,360181.2360559873,334182.38568990375,334182.38568990375,1119.7321423665787,1119.7321423665787,1119.7321423665787,1119.7321423665787,1119.7321423665787,1119.7321423665787,0.0,0.0,0.0,335302.11783227033
79,2020-04-10,355298.75614650594,330593.1977754298,383334.3765448753,355298.75614650594,355298.75614650594,2144.4135739123385,2144.4135739123385,2144.4135739123385,2144.4135739123385,2144.4135739123385,2144.4135739123385,0.0,0.0,0.0,357443.1697204183
80,2020-04-11,376415.1266031079,350850.81649040245,404569.0265842625,376415.1266031079,376415.1266031079,2142.348305304901,2142.348305304901,2142.348305304901,2142.348305304901,2142.348305304901,2142.348305304901,0.0,0.0,0.0,378557.4749084128
81,2020-04-12,397531.49705970986,373419.5067506685,423982.3244345514,397531.49705970986,397531.49705970986,1285.1326329967085,1285.1326329967085,1285.1326329967085,1285.1326329967085,1285.1326329967085,1285.1326329967085,0.0,0.0,0.0,398816.62969270657
82,2020-04-13,428983.84828649723,400133.71596394933,449787.578119267,428983.84828649723,428983.84828649723,-2834.694374284659,-2834.694374284659,-2834.694374284659,-2834.694374284659,-2834.694374284659,-2834.694374284659,0.0,0.0,0.0,426149.1539122126
83,2020-04-14,460436.1995132846,432176.53027465125,487028.76992175885,460436.1995132846,460436.1995132846,-2694.797444855639,-2694.797444855639,-2694.797444855639,-2694.797444855639,-2694.797444855639,-2694.797444855639,0.0,0.0,0.0,457741.402068429
84,2020-04-15,491888.550740072,466682.91960216634,519208.5762005368,491888.5507400719,491888.550740072,-1162.1348354335694,-1162.1348354335694,-1162.1348354335694,-1162.1348354335694,-1162.1348354335694,-1162.1348354335694,0.0,0.0,0.0,490726.4159046384
85,2020-04-16,523340.9019668598,499317.66003780585,550793.505215111,523340.9019668598,523340.9019668598,1119.7321423616233,1119.7321423616233,1119.7321423616233,1119.7321423616233,1119.7321423616233,1119.7321423616233,0.0,0.0,0.0,524460.6341092214
86,2020-04-17,554793.2531936471,528617.3070238056,583712.2557601236,554793.2531936471,554793.2531936471,2144.4135739103667,2144.4135739103667,2144.4135739103667,2144.4135739103667,2144.4135739103667,2144.4135739103667,0.0,0.0,0.0,556937.6667675575
87,2020-04-18,586245.6044204346,560320.0485962234,615246.7770908088,586245.6044204345,586245.6044204346,2142.3483053015793,2142.3483053015793,2142.3483053015793,2142.3483053015793,2142.3483053015793,2142.3483053015793,0.0,0.0,0.0,588387.9527257362
88,2020-04-19,617697.9556472219,596640.953736664,643766.1049166995,617697.9556472218,617697.9556472219,1285.1326329935666,1285.1326329935666,1285.1326329935666,1285.1326329935666,1285.1326329935666,1285.1326329935666,0.0,0.0,0.0,618983.0882802154
89,2020-04-20,649150.3068740093,622701.6852066356,677048.3092503385,649150.3068740093,649150.3068740093,-2834.6943742864914,-2834.6943742864914,-2834.6943742864914,-2834.6943742864914,-2834.6943742864914,-2834.6943742864914,0.0,0.0,0.0,646315.6124997229
